GalaxyID,BIC_Hernquist,BIC_Dehnen,Delta_BIC
NGC5371,5226.738544677221,4712.029970240776,514.7085744364458
UGC05829,223.7116239746915,23.874906346376328,199.83671762831517
NGC5005,1673.0100313157516,372.9895835622145,1300.0204477535372
UGCA444,140.8479683429336,74.24113572499454,66.60683261793906
NGC1003,372.0905040853209,261.1633255020437,110.92717858327723
UGC07559,5.573732502308003,7.244325741793386,-1.6705932394853829
NGC0100,171.8142215575919,48.087162384349746,123.72705917324217
UGC07261,65.21041022857871,43.31089180564968,21.899518422929027
NGC6195,4159.892890918515,1550.351665110369,2609.541225808146
UGC01281,66.94857859957636,54.77071017251693,12.177868427059437
UGC05414,17.185244850230205,7.086730899720402,10.098513950509803
UGC08837,31.158785393966163,15.671108446028446,15.487676947937716
UGC11820,57.61508504140753,55.82234018597557,1.7927448554319625
UGC06667,111.9018241480688,25.56501099607802,86.33681315199078
NGC4183,532.1252805574547,386.1290973242954,145.99618323315934
UGC08699,3309.7610062077583,1623.9162046634833,1685.844801544275
F583-4,34.54851363618063,10.284554581449665,24.263959054730964
UGC07399,11.06026680433336,10.7246179917553,0.335648812578059
NGC2841,18978.98253049503,14821.453055130592,4157.529475364436
F567-2,29.98957560960801,27.572199228829213,2.417376380778798
NGC2403,909.3636527500295,238.1787652641888,671.1848874858407
NGC4010,294.2445961490845,79.5518619557896,214.69273419329488
F574-1,47.916104368546556,49.5348536542128,-1.6187492856662473
NGC0300,100.21502597794218,78.92971506711142,21.28531091083076
NGC3741,47.25064739745734,18.66999589008642,28.580651507370924
NGC4214,157.16722253304218,87.21370027894943,69.95352225409275
PGC51017,12.934715663844376,7.851470568436713,5.083245095407663
CamB,16.639293811729875,11.497724524783973,5.141569286945902
UGC07866,5.023872262991789,6.373778490520907,-1.349906227529118
F574-2,20.80674627484573,14.615176476858764,6.191569797986965
NGC2915,187.63479702300157,114.52580644001054,73.10899058299103
UGC08490,59.952575614536364,22.138778303837725,37.81379731069864
UGC07524,74.12291952374646,57.83169756392003,16.29122195982643
UGC05721,86.7541115460983,78.71779573274213,8.036315813356168
ESO563-G021,2401.6387794715583,1623.693706788076,777.9450726834823
UGC00191,13.780350665816268,11.88658232000141,1.893768345814859
ESO116-G012,119.68488933168494,37.91043088231622,81.77445844936872
NGC3521,2167.6315421301683,1628.983282766674,538.6482593634944
NGC5985,1654.835547415099,724.3002812136166,930.5352662014824
UGC05918,11.768874690963592,9.662194941551874,2.106679749411718
UGC06930,57.37479354659006,59.31625479732428,-1.9414612507342142
NGC1090,583.0229497258481,319.23274279940813,263.79020692643996
UGC07323,14.861625105220789,13.048576894182693,1.8130482110380957
UGC07125,102.56474905056713,86.56589893030036,15.998850120266766
UGC02259,23.936124489111002,10.025417536038406,13.910706953072596
NGC3893,141.7580709885637,89.25681412846376,52.50125686009994
NGC3726,1148.6849828871386,864.1218972861273,284.5630856010114
NGC2366,60.995723057677765,13.165321887345929,47.83040117033184
UGC04325,64.4681612914683,24.22580332028974,40.24235797117856
UGC12506,1522.501709339764,390.41039547894286,1132.0913138608212
UGC11455,12159.047544691208,6693.70220674012,5465.3453379510875
NGC1705,66.21430926756831,39.91840695496912,26.29590231259919
F563-V1,16.71294652521742,8.596246452062847,8.116700073154572
F561-1,9.550484564200522,11.304873596962295,-1.7543890327617735
UGC06818,6.884771679467696,8.300579127187296,-1.4158074477196
UGC07089,48.70821865544589,11.146741258703546,37.56147739674235
UGC05253,5602.154477518078,745.7141494078895,4856.440328110189
UGC04305,82.35566263006788,48.21084717857924,34.14481545148864
UGC06446,49.70067948376783,44.230608630589046,5.4700708531787825
NGC3953,193.62108540234217,171.7629734144531,21.85811198788906
NGC6789,8.910764583583846,4.9440092203487165,3.96675536323513
UGC07232,9.254077114187462,6.914620395011154,2.339456719176308
UGC03546,5025.433364088954,2007.2996026455485,3018.133761443405
NGC6503,1115.8244405020687,810.2857460957202,305.53869440634844
UGC05005,21.66981283189192,15.088744141644565,6.581068690247356
UGC07690,4.67072204150273,6.293234698527425,-1.6225126570246955
UGC00634,14.307255615849897,10.801396709388424,3.505858906461473
DDO154,14.404053806610378,13.278677890698972,1.1253759159114054
UGC07603,30.1689529941954,20.23590821652524,9.933044777670162
NGC3992,1233.986183510776,1105.777772163032,128.208411347744
NGC4088,3243.9416090151867,2270.1114202968115,973.8301887183752
F579-V1,72.42051123817716,36.054895885397904,36.36561535277925
ESO444-G084,40.11692484513164,23.107888407863044,17.0090364372686
F565-V2,10.532769169185913,7.084243622717754,3.4485255464681597
UGC10310,21.05636553552467,13.58288633238379,7.473479203140879
NGC5055,464.20129497839304,413.2561931403792,50.94510183801384
NGC0801,614.5194517936908,543.7692615554828,70.750190238208
F563-1,19.390038083587683,22.1034631775823,-2.7134250939946156
NGC6946,8883.090657126997,4437.859431521392,4445.231225605605
UGC06614,1003.2255315659547,640.828314236337,362.3972173296178
NGC3769,63.96507054574357,46.38344024626214,17.581630299481432
NGC3917,734.2465380081081,356.1400709836924,378.10646702441574
UGC05999,34.28206312478292,31.53262882794327,2.7494342968396523
NGC4085,82.3102900994189,39.539076905611836,42.77121319380707
NGC3198,2249.451114873467,2201.131137279049,48.31997759441765
F568-3,46.8017806515502,13.574950055351339,33.226830596198866
NGC5033,1823.2824713214711,943.0474301884151,880.235041133056
UGC11557,102.9670752587136,40.65319417556461,62.313881083149
UGC02885,852.5883194930678,278.1985219584448,574.3897975346231
KK98-251,66.26252648807568,25.345479943586106,40.91704654448957
NGC5907,1380.1447262454958,935.187876802337,444.95684944315883
UGC06917,28.77615456676935,11.645494935884857,17.130659630884495
UGC09992,3.7034017836617714,5.31193765522148,-1.6085358715597087
UGC04499,11.257800927545407,13.32227881782429,-2.0644778902788836
NGC0289,1831.0257085595547,1808.2824209477924,22.743287611762298
UGC06983,122.45837468630232,50.777555348247745,71.68081933805458
UGC06973,7.601560221255266,9.771036682889806,-2.16947646163454
UGC02487,1754.2156964178048,1450.2011341504578,304.01456226734695
UGC09037,94.66081496680346,90.55326192389282,4.107553042910638
NGC4051,1332.7250115692286,907.9322150878048,424.7927964814238
F571-8,256.43229607970517,96.1704662166738,160.26182986303138
D564-8,4.395065146514044,5.530677676867349,-1.1356125303533045
UGC00891,14.378554626823258,10.355389452017661,4.023165174805596
NGC2998,1283.0962151318458,246.08623945004922,1037.0099756817967
NGC0055,88.11964191413531,32.52320938969034,55.59643252444498
NGC2683,1146.727241324975,1026.9558240690626,119.77141725591241
UGC12632,18.191322934294252,20.288828495357677,-2.097505561063425
F563-V2,57.84158173520796,22.180197167864463,35.6613845673435
NGC5585,27.705973674628144,28.655489856774658,-0.9495161821465139
NGC2976,989.7062787072099,309.9842760707113,679.7220026364986
NGC7814,880.7093149204468,334.54589647752255,546.1634184429242
UGC05716,21.626116815796255,20.512664895586006,1.1134519202102489
F571-V1,25.37405674646325,15.104667185791786,10.269389560671463
F583-1,120.91752649276266,60.08202582091535,60.83550067184731
UGC11914,5543.141424853037,644.0889115503186,4899.052513302719
NGC0891,3323.1006000412494,2003.8868729776073,1319.2137270636422
DDO170,27.72875998550043,18.117244895643143,9.611515089857289
F568-V1,32.61106862542492,35.30612469402847,-2.6950560686035487
ESO079-G014,239.08938498306125,240.1698954870298,-1.0805105039685543
UGC06787,13994.13586663077,3668.2946341966926,10325.841232434077
D631-7,52.32347877330382,28.00272231965551,24.320756453648308
NGC2955,2900.571890580651,519.8699415641792,2380.701949016472
UGC03580,1983.5258299245017,332.2644056525068,1651.2614242719949
NGC4100,4408.987993494832,3761.280459766831,647.7075337280012
UGC06786,10331.247116753057,5006.575628004288,5324.671488748769
UGC00128,245.27045218749774,246.37167524076054,-1.1012230532627996
NGC4068,14.681213410508217,5.802737663947103,8.878475746561115
UGC00731,242.85920612315297,43.54514162874034,199.31406449441263
UGC07608,14.673956546778314,8.223521450416166,6.450435096362147
UGC05750,63.096915953296374,24.060999284411842,39.03591666888453
UGCA442,76.42205003267084,45.27968027294534,31.142369759725497
UGC04278,484.0906052075757,479.8249181338692,4.265687073706545
UGC07151,34.53707329624056,24.685942583179717,9.85113071306084
NGC3972,133.14638982228357,117.22058107628757,15.925808745995994
F568-1,100.60824868975568,77.39351134987106,23.21473733988462
NGC7793,764.4128935976104,510.923991933118,253.4889016644924
NGC3877,515.0266156592105,471.8803947916803,43.14622086753019
NGC6674,4392.954477594645,2370.905018255223,2022.0494593394224
NGC6015,3576.0168915423505,1767.0193544842714,1808.9975370580792
UGC12732,105.73887617485204,92.09103370338727,13.64784247146477
DDO168,15.380595253216637,10.116321220396193,5.264274032820444
NGC2903,5109.692930469563,4967.842299293047,141.8506311765159
UGC02455,54.355466295719886,18.542586749716605,35.81287954600328
UGC02023,22.088443350705138,11.170008018799379,10.918435331905759
DDO064,87.58624083388128,26.736346694404098,60.84989413947718
UGC05986,311.60798586824234,183.61293444710316,127.99505142113918
UGCA281,18.26877214234394,9.510308359111548,8.758463783232393
UGC06399,23.47187624507282,9.521400668646272,13.950475576426548
UGC09133,21492.564294141815,6111.021585742212,15381.542708399604
NGC0024,1198.3527504536746,449.9876155797546,748.3651348739199
UGC08550,55.63747233042521,53.48686389539885,2.1506084350263635
UGC02953,80607.39697237046,30713.285567701907,49894.111404668554
NGC4138,128.27343396413187,121.67870500004197,6.594728964089896
NGC0247,121.799095334293,74.48210665680705,47.31698867748595
