GalaxyID,Gamma_disk,Error_disk,Gamma_bulge,Error_bulge
NGC2998,0.5221051967587864,0.15792159088145086,0.0,0.0
NGC0055,0.34490453797635756,0.05029919012238104,0.0,0.0
NGC2683,0.570843350152107,0.10120512378482434,0.6797061442564558,0.050111212272042155
UGC12632,0.49233221913884184,0.05139556149536998,0.0,0.0
F563-V2,0.5242575428257487,0.05296264595651291,0.0,0.0
NGC5585,0.4061751087544956,0.15454017718388222,0.0,0.0
NGC2976,0.5529356330973025,0.09397539929530811,0.0,0.0
NGC7814,0.5582079467067829,0.08552087308586433,0.5826341463414634,0.036863463369416864
UGC05716,0.530277695913082,0.08960044286360248,0.0,0.0
F571-V1,0.5002812148481439,0.03857019511008605,0.0,0.0
F583-1,0.5051759665365257,0.04657825251419889,0.0,0.0
UGC11914,0.3898972339689212,0.05104404875168011,0.7831962033168941,0.10582603527976613
NGC0891,0.24083333333333334,0.027676203175692696,0.5791666666666665,0.04707411414166199
DDO170,0.48222450740803474,0.04185467679126837,0.0,0.0
F568-V1,0.5202923131156223,0.06549499840620064,0.0,0.0
ESO079-G014,0.4955480513580673,0.05350669686785136,0.0,0.0
UGC06787,0.9351050102544363,0.09277528222100598,0.21417452402687928,0.031962091559745144
D631-7,0.386293213828425,0.04412173031319235,0.0,0.0
NGC2955,0.331016370986751,0.030030207203447273,0.7794704815920556,0.1445314147576575
UGC03580,0.8109161832306301,0.1201234981440541,0.29127325385965686,0.048783397548249036
NGC4100,0.5282463448168333,0.09639888517666881,0.0,0.0
UGC06786,0.4222013581728793,0.07876745930653037,0.6522097840380936,0.08050775225794102
UGC00128,0.537846161056094,0.26464479952525755,0.0,0.0
NGC4068,0.4724999999999999,0.03929058411375427,0.0,0.0
UGC00731,0.49431316565299366,0.04917471013439595,0.0,0.0
UGC07608,0.49999999999999994,0.04031128874149275,0.0,0.0
UGC05750,0.5002407002188183,0.038792595646223525,0.0,0.0
UGCA442,0.5071777344837184,0.04730353660370563,0.0,0.0
UGC04278,0.5046005197711685,0.07123739694741969,0.0,0.0
UGC07151,0.7722370034618411,0.24327522410446936,0.0,0.0
NGC3972,0.4950500212200175,0.0768950296150748,0.0,0.0
F568-1,0.521473186569852,0.05576898190285336,0.0,0.0
NGC7793,0.564066838896632,0.043443053003809386,0.0,0.0
NGC3877,0.31902148747302983,0.05278662576061994,0.0,0.0
NGC6674,0.9520885530883512,0.15514949904628522,0.7915193048925412,0.08536199034634512
NGC6015,0.6427016335455047,0.09033585531539538,0.0,0.0
UGC12732,0.5260883393442221,0.05225836493254672,0.0,0.0
DDO168,0.4749322524879689,0.04995993197436449,0.0,0.0
NGC2903,0.3347878246262565,0.07891498012075286,0.0,0.0
UGC02455,0.347898978228689,0.09728598487477888,0.0,0.0
UGC02023,0.49412344398340247,0.036281508129105945,0.0,0.0
DDO064,0.5005339260417174,0.04546585795735813,0.0,0.0
UGC05986,0.5251207816068812,0.05072409727484225,0.0,0.0
UGCA281,0.579220568673254,0.16145761830822503,0.0,0.0
UGC06399,0.5258719526094849,0.057688034532565255,0.0,0.0
UGC09133,0.7110136758591923,0.0684040843004205,0.47942967409948545,0.07809702846283667
NGC0024,0.7777271750941304,0.44578528843672444,0.0,0.0
UGC08550,0.6374003591322861,0.20844227446992797,0.0,0.0
UGC02953,0.5685917564095554,0.055896764413025955,0.5802036849021128,0.058827030464540866
NGC4138,0.5364617239300782,0.0789263790434015,0.680172157910359,0.049967339135029806
NGC0247,0.6989877052034534,0.545314016796191,0.0,0.0
IC4202,0.3089965809391656,0.15946265940550508,0.16762093910832374,0.07995907617541399
UGC08286,0.5586739002804338,0.384855138491016,0.0,0.0
IC2574,0.4339375025384723,0.1263025196406933,0.0,0.0
NGC4559,0.4804451109852575,0.04743336702530059,0.0,0.0
UGC01230,0.506809286148202,0.04392820153445622,0.0,0.0
UGC07577,0.44754177549641494,0.059499360424248825,0.0,0.0
UGC06628,0.507088772845953,0.041688804686378776,0.0,0.0
NGC4013,0.5600531139345969,0.028085834366332177,0.8126553537284896,0.05745685682986671
UGC03205,0.4523568145111193,0.18106145776565793,0.848267813369577,0.12519759106352515
NGC7331,0.42974433468913426,0.027664121290527224,0.6139259369424427,0.044405119309901264
UGC02916,0.483368132566683,0.27280446230075267,0.21683090981244144,0.1794227892408378
UGC06923,0.48634504939122447,0.04927540604728052,0.0,0.0
UGC04483,0.5076583593989608,0.05291095343556436,0.0,0.0
NGC4217,0.638832241215337,0.17998408207517289,0.24989021701721006,0.04472270644406934
NGC3109,0.528627649158163,0.12185566822392968,0.0,0.0
UGC05764,0.47756838079091396,0.23058145951685916,0.0,0.0
NGC3949,0.48656819281773306,0.041305466761353,0.0,0.0
D512-2,0.5067654422318851,0.05102089029025264,0.0,0.0
NGC4389,0.30542910447761196,0.020547601540052942,0.0,0.0
NGC4157,0.5096025519595404,0.027996895644462106,0.6508231835363294,0.044992820185397686
DDO161,0.46465397825052573,0.07310622425105022,0.0,0.0
