GalaxyID,M_b_fit,a_fit,gamma_fit,ChiSq,M_b_fit_bulge,a_fit_bulge,gamma_fit_bulge,ChiSq_bulge
NGC5371,398743395047.0724,18.755439675145876,1.4152481891917532,4703.196653303276,,,,
UGC05829,6396096383134.155,99.99999983230312,0.12456121472915982,16.681220527981218,,,,
NGC5005,205464016527.79584,2.949060303358654,0.04733231519838721,364.318468288526,14876769623.702068,0.2478116046685134,0.00010000013262460777,1750.4356488274098
UGCA444,917483002.4280488,1.9535616802270117,0.00010000002308659954,63.49057890962621,,,,
NGC1003,12882071600.788364,1.985858350011746,0.00010000606652070194,250.41276868667535,,,,
UGC07559,3764528208.8801603,6.416339723196053,0.7347736794955696,1.4065952946274463,,,,
NGC0100,5771225856.381331,2.5257149490209927,0.00010000000663014243,38.95359507117948,,,,
UGC07261,5589675596.117411,2.3954291624567197,0.00010000032009271188,37.47316135848374,,,,
NGC6195,492206817122.2559,12.622616354446711,0.00010000017927784328,1540.9451824625814,105924223872.4966,1.2692517873188072,0.00010000177831517046,884.2837919247991
UGC01281,7201762720.455957,6.88422981890848,0.3376404719514674,45.11408269791233,,,,
UGC05414,6120035373.876406,3.1835855209558774,0.00010000001237725762,1.7114524920362368,,,,
UGC08837,38524497820.49124,14.149450521693604,0.387272485605836,9.432783820988941,,,,
UGC11820,29406153000.19435,22.530197115431722,1.1542160894156306,48.914584906993426,,,,
UGC06667,74045668911.03477,18.897979740353254,0.0001000000125574378,18.973337264069357,,,,
NGC4183,27745730001.79167,4.572386172908672,0.0001000376020770835,376.72261467650793,,,,
UGC08699,55005578314.70255,2.3591780968021823,0.00010000049589861729,1612.7754884633705,11111663290.430717,0.23471223442608094,0.00010000001065483272,4107.81483872225
F583-4,4980400161.524348,3.360429187328618,0.00010000000150816258,2.829834632085664,,,,
UGC07399,6037029870.460667,7.343340325887378,1.337349442403065,3.816862712773163,,,,
NGC2841,281299229695.9727,3.8756777595865315,0.0001000074393179907,14809.716986114308,38949922702.66702,0.00371399719046748,0.00010249530442060243,0.4562670371554516
F567-2,148479218411.63562,99.99999997400752,1.2811165617252556,22.74388549152691,,,,
NGC2403,17824721163.811943,2.0276295215492985,0.2268396332087206,225.30738694074356,,,,
NGC4010,38773161607.86835,4.532366389061646,0.00010000000125226896,72.0971420064256,,,,
F574-1,90671267454.43468,40.33841998862932,1.093505524133531,41.61768166536703,,,,
NGC0300,7216914505.88315,3.1111046626953036,0.1238027005583254,69.27308759250681,,,,
NGC3741,9373865260.26088,99.99999987665105,1.7571776921099105,9.536428576916148,,,,
NGC4214,1274953731.5565476,0.47047780999908856,0.00010000021430096393,79.29652829010365,,,,
PGC51017,552245845.5961387,1.0273372728840238,0.0001000000064145479,2.4761921607525474,,,,
CamB,277606436.8441146,1.1051770719196625,0.00010000004792171292,4.906050792775314,,,,
UGC07866,2977573630.7125993,5.077593718841204,0.6139522428379154,0.5360480433549677,,,,
F574-2,609954183972.0947,99.99999999317467,0.7870914730020866,9.786862739556463,,,,
NGC2915,1488658343.7571988,6.505292681368472,1.999999999981767,104.32221429502407,,,,
UGC08490,2420548357.2307196,0.9477691192162393,0.00010000000844404512,11.935186158851259,,,,
UGC07524,642172806763.2332,99.99999933867558,0.8898254937028098,47.52973595046459,,,,
UGC05721,1333682780.0948706,0.980216127540768,0.6032420642091082,69.31131308495468,,,,
ESO563-G021,274011006833.73837,11.006389151775862,0.3179985509977607,1613.4901146430896,,,,
UGC00191,13854360636.036016,6.654580071125021,0.7095762506038062,5.294908587992752,,,,
ESO116-G012,10690813429.730333,2.7172157915966535,0.0006411164436926036,29.786280279009592,,,,
NGC3521,79158960092.46394,1.5634658604854943,0.3428896324729335,1617.8425665665613,,,,
NGC5985,261562395874.51984,11.251234154961477,0.00010000238561532314,713.8107585292172,7364410011.427099,0.0018408417826527778,0.00010077332694693348,0.0038893945811399253
UGC05918,12385525154.659473,12.667317465609017,0.4611406474889763,3.4238703165123665,,,,
UGC06930,50739261659.30872,16.91712281623809,1.0695871934676755,52.40849951834214,,,,
NGC1090,91904073672.71265,5.263231121515686,0.5112850715869643,309.6985813083643,,,,
UGC07323,121371948226.65845,21.594018078063932,0.7594937943666427,6.140821615200555,,,,
UGC07125,154007612675.15604,99.99999983641992,1.40666572120668,78.87105085791575,,,,
UGC02259,7510108237.736733,3.652485405792267,0.00010000019054659863,3.7870929109988993,,,,
NGC3893,50181998706.167336,1.4981944768772322,0.00010000397399892777,82.34905884948162,,,,
NGC3726,95832801944.38394,3.6314329781485077,0.00010000001220629181,856.6671773367633,,,,
NGC2366,4244214662.933424,3.4040342457133685,0.00010000047461792723,3.391032273281481,,,,
UGC04325,15550008372.293306,4.402046108751294,0.00010000006921417075,17.987478695250232,,,,
UGC12506,237903426530.3236,9.503547708026359,0.00010000003100420324,380.1084338654874,,,,
UGC11455,425743267036.90753,7.703976512610273,0.00010000070930378704,6682.951649924752,,,,
NGC1705,727960806.7788153,0.34446430374374565,0.00010000017214535006,32.00123496612335,,,,
F563-V1,10886674221.224907,8.173320392906804,0.00010000023433826637,3.2209680443786803,,,,
F561-1,576026002514.0251,99.99999999126044,1.0101068796018262,5.929595189278129,,,,
UGC06818,5105302019.829433,4.901727834307564,0.7288963775012367,2.0622545021477894,,,,
UGC07089,13105664708.406223,4.785064839846038,0.00010000000246823543,3.692021309339544,,,,
UGC05253,92140624514.67366,6.000789263620512,0.0001000000006673217,732.8427710844444,77302901486.42957,1.021008660328455,0.8243018770501054,4992.532110434266
UGC04305,7412944214.9314575,3.948985152386175,0.13119319487513892,38.93771981850429,,,,
UGC06446,86440451865.24275,55.64667346349092,1.2791039304404694,35.7309685984204,,,,
NGC3953,261008079255.30936,5.979686353681573,0.3071827067101562,165.52464878941362,,,,
NGC6789,472677410.32627213,0.6553953269066488,0.00010000000009458628,0.7851261369890454,,,,
UGC07232,544804256.9121637,0.6534180162341697,0.00010000029185804354,2.7557373116514823,,,,
UGC03546,77092904286.66718,2.2320896255650524,0.00010000000991335183,1997.096010500562,15060613480.871561,0.04681236734474515,0.0001000102970198371,193.75591163460257
NGC6503,11033884669.406656,1.0989934897655134,0.00010000000376579923,799.9837844822648,,,,
UGC05005,33164591378.399563,16.049961890733098,0.6841242499739912,7.895058323249452,,,,
UGC07690,1683251019.2069676,0.9936098602276544,0.63047047320576,0.4555042513614857,,,,
UGC00634,18718526950.783676,6.155369889235972,0.00010000001040016028,6.642513626028752,,,,
DDO154,1127099168.4046202,2.564949035508828,0.19159517881567084,5.823957941334971,,,,
UGC07603,949531359.4745276,0.9403754908709514,0.00010000012370874144,12.781188267161236,,,,
NGC3992,271155719517.8232,5.277101099495667,0.00010000194518933414,1099.1860984310233,,,,
NGC4088,133407906145.03822,3.711718941273848,0.00010000000858659063,2262.6567003474474,,,,
F579-V1,41928392878.62102,9.777352114706321,0.5167556752277261,28.137723896552128,,,,
ESO444-G084,668663742.9895505,1.0725430269775922,0.00010000032672141108,17.270157960697105,,,,
F565-V2,70233372910.68947,31.951817966974104,0.6389797699507188,1.2465131755518142,,,,
UGC10310,18770842151.50209,6.984924628092702,0.17106911818480156,7.745155885217851,,,,
NGC5055,73223219642.93478,3.1304406452761606,0.7438633506555454,403.25957960985363,,,,
NGC0801,336549090038.4295,5.601430071401349,0.733998510162271,536.0744134830982,,,,
