GalaxyID,log_M_b_fit_hern,log_M_b_fit_dehnen,log_M_b
NGC5371,11.528797276305188,11.600693502288768,11.198233537997414
UGC05829,11.612247081348627,12.805914999531346,9.216863165923959
NGC5005,11.482694261913153,11.31273577369737,10.975567883583865
UGCA444,9.82513557995636,8.96259802712567,7.977735992848643
NGC1003,10.139853498720278,10.10998570871066,10.099083440219218
UGC07559,10.289625369583527,9.575710555803976,8.442255803088543
NGC0100,9.933800929548418,9.761268070714962,9.622452271011904
UGC07261,9.954276797423226,9.747386603789051,9.442354435156112
NGC6195,11.968628614511413,11.692147624438046,11.276460313137932
UGC01281,11.525125536969899,9.857438808385693,8.752887482938718
UGC05414,10.608762381324087,9.786753932380027,9.121248806086697
UGC08837,11.658296745117116,10.585736986255842,8.80658354967687
UGC11820,10.29020472148262,10.46843821253605,9.536029456659959
UGC06667,11.462495529125274,10.869499660790407,9.256069637991923
NGC4183,10.570939245525967,10.443196155770448,10.027970007376327
UGC08699,10.855653891377006,10.740406735102345,10.621959788280831
F583-4,10.187657602446912,9.697264238534821,9.243202398525817
UGC07399,9.62633437838367,9.780823324692987,9.210780077249435
NGC2841,11.466843619248294,11.449168542903749,11.271028400217496
F567-2,10.468043298004552,11.171665672772907,9.637651711680494
NGC2403,10.323095703279884,10.251022744809177,9.992520082878492
NGC4010,10.909482970324706,10.58853121531902,10.06635997167488
F574-1,10.78584883831182,10.957469686587103,9.899087726098722
NGC0300,9.983203220413573,9.858351560522506,9.443172607422657
NGC3741,8.773553821875366,9.971918706689445,8.41233939055449
NGC4214,9.151318226461445,9.1054944243823,9.092425243073464
PGC51017,8.927609601395826,8.742132457469758,8.538887172511732
CamB,8.966928982018954,8.44342953186016,7.621825052930603
UGC07866,10.575339933806527,9.473862509707057,8.341289702065017
F574-2,11.53546744401034,11.785297214690475,9.566318076718012
NGC2915,8.96571798300873,9.172795035934413,8.976501898310708
UGC08490,9.43959420832682,9.383913763311831,9.216131852375984
UGC07524,11.673476997947624,11.807651911129708,9.550378823066982
UGC05721,9.174667843438105,9.12505254379556,9.006958631783434
ESO563-G021,11.556900451399184,11.437768008481504,11.046377001347844
UGC00191,10.294772252713464,10.141586488353651,9.486622318105658
ESO116-G012,10.235885587149252,10.029010750541186,9.544398770717056
