GalaxyID,M_b_fit,a_fit,ChiSq,M_b_fit_bulge,a_fit_bulge,ChiSq_bulge
NGC5371,337907078430.82477,10.718281851693632,5220.849666719205,,,
UGC05829,5.878777329943729e+25,1252023733.2118511,182.81759693901438,,,
NGC5005,303874174953.77704,7.392089020756519,1667.2292878762369,15023019865.05375,0.40752431688399887,1970.0142077413975
UGCA444,6685486216.3728075,13.210178859826708,133.680930469519,,,
NGC1003,13799183651.084286,3.7168777084431013,364.9234662150292,,,
UGC07559,19481632938.834217,21.25338802138123,1.681912204197382,,,
NGC0100,8586208020.20881,6.534494285011815,165.725176674451,,,
UGC07261,9000724521.723988,6.4534597541083585,61.3185899305903,,,
NGC6195,930337266454.7578,38.44874782565698,4153.621901989697,110526348446.66803,2.256989407386542,1337.4329660208616
UGC01281,948807041690.4945,170.27177800231385,60.30576982102392,,,
UGC05414,40622376049.456024,20.313162935151492,13.601725911686492,,,
UGC08837,3.121871072956411e+23,85207851.33571391,22.859685800303804,,,
UGC11820,19507549496.73063,14.00142696708168,53.00991485693467,,,
UGC06667,1.1281826133240462e+25,656471925.4439228,89.71636677550889,,,
NGC4183,37233979684.48392,10.80466557185776,525.8542921250673,,,
UGC08699,71722044986.06192,5.617624888355318,3302.333862149906,11297831108.603333,0.4034746056535028,5352.265602638624
F583-4,15405071199.261318,14.396123731170148,29.578700332374673,,,
UGC07399,4229939985.811077,3.924455913371269,6.455096618295373,,,
NGC2841,292985274193.56604,6.902376903406448,18971.15848302923,38949917385.84298,0.0055713323929683515,0.45629396205763667
F567-2,29379943513.083195,25.142445363505825,26.770699782015104,,,
NGC2403,21042430580.189964,3.9017828686759923,900.7827338726497,,,
NGC4010,81186466903.26018,14.742644206109908,289.27478284955475,,,
F574-1,61072917855.15995,28.323361708829975,42.63798970928919,,,
NGC0300,9620628977.844482,6.836160074633476,93.77727432779196,,,
NGC3741,593681132.9897519,3.453927386509555,41.16160252407615,,,
NGC4214,1416833498.3715136,0.9441401700231595,151.88910788710749,,,
PGC51017,846467511.0785774,2.7251678269999307,9.351196725557529,,,
CamB,926656581.0756018,4.762019430799173,12.244844653963646,,,
UGC07866,37613127130.50925,30.106938952916572,1.132051964881119,,,
F574-2,5.186353167950342e+24,418830467.94564897,9.820581383345067,,,
NGC2915,924096888.9049113,1.0311395343702796,180.83240227323307,,,
UGC08490,2751657764.4516916,1.9335200905996774,53.15018084859175,,,
UGC07524,9.658975487310337e+33,15328371542414.176,37.6524271845588,,,
UGC05721,1495091927.0435483,1.4515288707314662,80.48312311422326,,,
ESO563-G021,360493149691.91925,22.130792957558462,2394.8363846506954,,,
UGC00191,19713873741.774113,11.039884777336523,9.38590151117706,,,
ESO116-G012,17214154850.255592,7.477337296303209,114.26878892971483,,,
NGC3521,89825393141.3526,2.658779880358619,2160.204398048821,,,
NGC5985,417280460831.6386,29.83115379362638,1647.8425320031345,7364410066.188812,0.002761426395102645,0.0038896092592780097
UGC05918,2.345444292898621e+23,108416217.23516011,6.336524475397803,,,
UGC06930,47217858266.24703,15.033639993808288,52.76962336059157,,,
NGC1090,106107700758.43114,8.572371406095346,576.6668421330992,,,
UGC07323,3488633966906.878,169.17043523938491,9.751288605278436,,,
UGC07125,37094959988.54341,22.40517943992854,97.43485033654851,,,
UGC02259,15279803346.444662,11.588517181989392,19.777241405552914,,,
NGC3893,53369521389.43128,2.733969680696311,137.1529008022645,,,
NGC3726,102603054617.77457,6.656959904746088,1143.715169657929,,,
NGC2366,15419317497.211597,15.590910875561663,54.479529984966135,,,
UGC04325,118523666083.59898,30.354225742829684,60.309278194490346,,,
UGC12506,317998781656.21655,22.636266240757344,1515.633734880978,,,
UGC11455,573467825579.8433,18.44860079541358,12151.88051041917,,,
NGC1705,783297354.3271248,0.6627367990850344,60.936194606157216,,,
F563-V1,1699136686917.895,271.75906161042013,12.731438961607552,,,
F561-1,736740622619.6448,112.26923239862617,5.925956241290359,,,
UGC06818,6498759599.22593,7.2827246742650145,2.72588859610803,,,
UGC07089,34858759139.539276,18.0732953330548,43.73840534791247,,,
UGC05253,129316688240.68568,15.357408647789578,5593.573558150157,79412097826.88847,1.1940917436415681,5224.564686266428
UGC04305,35659189849.682785,19.738431261944758,76.17357772203454,,,
