GalaxyID,M_b_fit,a_fit,gamma_fit,ChiSq,M_b_fit_bulge,a_fit_bulge,gamma_fit_bulge,ChiSq_bulge
NGC5371,,,,,,,,
UGC05829,7.308853801341269e+25,6250267.431787795,0.2341814441635315,16.069110739068876,,,,
NGC5005,205463275740.15775,2.949026216508922,0.04731386640677106,364.31846805913733,,,,
UGCA444,346248939.04385513,0.06462537988026033,-30.784747209682738,12.65856417622709,,,,
NGC1003,11928664574.847548,0.6419098195514137,-4.235131826545807,196.29927293285363,,,,
UGC07559,3764488932.4993873,6.416285348660768,0.7347707644781456,1.4065952947317841,,,,
NGC0100,4958352856.765549,1.4538770892344675,-1.1409005358987891,20.791161872274152,,,,
UGC07261,3502269820.085248,0.15863972335026755,-20.1901300379171,19.28569273746939,,,,
NGC6195,,,,,99314076978.18109,0.24434343136864844,-9.12066505026122,611.6709577681368
UGC01281,7201722561.228277,6.884184741919348,0.3376352462309238,45.114082695268124,,,,
UGC05414,4232421186.843673,1.7296915847684937,-0.9303373744377544,0.20287380792234827,,,,
UGC08837,38524281286.93031,14.149393127949839,0.3872707480148856,9.432783820884675,,,,
UGC11820,29406122982.494495,22.53017064425008,1.1542157304070906,48.914584906961736,,,,
UGC06667,13704765039.462784,3.771902832557804,-2.219536449512713,8.841741272266692,,,,
NGC4183,27456432415.51644,4.3995833270762335,-0.06530640692025107,376.4495027140549,,,,
UGC08699,52233109493.25112,1.8905923410935954,-0.4034174631750786,1547.3638577422219,,,,
F583-4,4645378437.192832,2.9419811567395797,-0.17620880811187412,2.568523869759743,,,,
UGC07399,6036977124.29894,7.343246284901999,1.337344730561425,3.816862712356022,,,,
NGC2841,,,,,38949933161.707596,6.553705524490066e-05,-166.97384824460207,0.45621409524870543
F567-2,3.8649868090175436e+20,67492981.52788205,1.3600783350054486,21.448020824014684,,,,
NGC2403,17824723470.253807,2.027630415609554,0.22684025164146507,225.30738694027815,,,,
NGC4010,27921517472.964436,1.881509376897252,-1.8730950291424946,15.575621218466543,,,,
F574-1,90663905177.56445,40.335778076501725,1.0934933563539821,41.61768164446749,,,,
NGC0300,7216934395.3870325,3.111130011933642,0.12381462020184542,69.27308758557406,,,,
NGC3741,1.6445999550194074e+17,102031862.18305555,1.7842883679449746,8.88863577164828,,,,
NGC4214,1105674908.7418337,0.09703492774317524,-6.8142174274211404,37.25768070930254,,,,
PGC51017,427008357.78842413,0.39817778066103793,-2.282095145328543,0.42775740804150997,,,,
CamB,160857108.89830142,0.3092672502566342,-3.075448324516725,2.1093066258666964,,,,
UGC07866,2977569290.560456,5.077587969692039,0.6139518415679842,0.5360480433554842,,,,
F574-2,,,,,,,,
