GalaxyID,M_b_fit,a_fit,ChiSq,M_b_fit_bulge,a_fit_bulge,ChiSq_bulge
NGC5005,303874174953.77704,7.392089020756519,1667.2292878762369,15023019865.05375,0.40752431688399887,1970.0142077413975
NGC6195,930337266454.7578,38.44874782565698,4153.621901989697,110526348446.66803,2.256989407386542,1337.4329660208616
UGC08699,71722044986.06192,5.617624888355318,3302.333862149906,11297831108.603333,0.4034746056535028,5352.265602638624
NGC2841,292985274193.56604,6.902376903406448,18971.15848302923,38949917385.84298,0.0055713323929683515,0.45629396205763667
NGC5985,417280460831.6386,29.83115379362638,1647.8425320031345,7364410066.188812,0.002761426395102645,0.0038896092592780097
UGC05253,129316688240.68568,15.357408647789578,5593.573558150157,79412097826.88847,1.1940917436415681,5224.564686266428
UGC03546,90062674124.21443,4.81965307734509,5018.630970457902,15063557904.218542,0.07119662850858671,197.26393118415416
NGC6946,91818047430.51797,5.732157528505122,8874.96976709322,2419381842.4902167,0.06221877477519768,50.79332191772766
UGC06614,182229859816.43292,31.482650216249453,998.0956328594988,51307029889.842735,0.8245240552414557,67.03803554141146
NGC5033,72309535153.91544,4.628201559837165,1817.10038613558,12320365279.719461,0.3074796383364913,179.19636271484612
UGC02885,533673974514.1165,21.737050946387015,846.6994414998632,52795190144.99982,0.584150892909189,384.4349366526165
UGC06973,15176244678.765572,0.3189281731417894,3.2071110665828355,3965482894.6511173,3.770775172089552e-14,0.0012018344556157614
UGC02487,491808816067.27673,10.302357157367489,1748.5492613687143,63265110816.223335,0.42293899020744696,4.1107082170450004
NGC2683,66247986893.24855,2.4589706419037802,1141.9314508092598,3671957257.4675136,0.0028927190182996103,0.00022173877905304912
NGC7814,36632418663.65065,5.857114516830615,874.9285710351458,32973761662.993587,0.49092413753937914,102.38440158304378
UGC11914,378219915053.9204,13.746638852884905,5534.792648687668,42109238755.56079,0.9210697278673664,2663.0298763689366
NGC0891,71872782279.78833,4.219045765240765,3317.319855817892,11669041177.858633,0.1772276669553359,46.41883092910387
UGC06787,143474409415.6625,9.774144056982509,13985.610508786405,12997006465.836485,0.6332414946325148,1783.9483488738133
NGC2955,370334284816.51227,18.017227276080153,2894.2157826417083,85678328143.53029,2.1986284273910375,5258.769538262989
UGC03580,26043955734.20919,4.514138391607733,1975.8255345751993,1445087874.9685905,0.57844678346251,651.9128380696968
UGC06786,80736885649.78416,8.876942017318576,10323.633791238795,15839260814.220127,0.670688597537698,1980.6879292251106
NGC6674,379973620138.7409,10.015079642384151,4387.538376971225,13673033816.731222,0.011283898269739844,0.008254479646420097
UGC09133,319346152712.1777,9.993521555760442,21484.125281552337,51252313739.323494,1.1570893982264934,5723.214982149079
UGC02953,303788110312.90845,7.9256459397714085,80597.90710426524,24448651767.96518,0.7159607299323644,13414.927499020774
NGC4138,27455882614.27912,1.123493731052766,124.38161366511561,5775403048.59472,0.0010389456841529312,4.182254707022765e-05
IC4202,970202946035.5006,55.383364216574485,5419.357174952036,8626688584.655888,1.8165657475178356,400.6068336590821
NGC4013,49477468418.371346,1.0232155035286083,2227.239264747722,12667065209.381014,0.08519414645204916,0.9425571367264617
UGC03205,175122396419.2411,11.705021062769731,15404.312627193392,20167565680.436443,1.0330891788240402,3544.7744043450143
NGC7331,170619031849.06226,3.2669469470948744,1830.9460576827692,7138652081.045102,0.0004898963679317082,0.0008910193262918967
UGC02916,497808734990.94965,47.544837864272594,1274.2317908094578,25123959888.07776,1.9582025572956292,3688.101642370908
NGC4217,77188066765.2905,14.042629350647697,2198.8658912586957,28339758844.495262,2.2754220844730866,2501.239027078832
NGC4157,125752427562.58911,5.434453171292604,4698.416093297757,1313766292.2078507,4.217451995289806e-14,0.00011092958750046625
