GalaxyID,M_b_fit,a_fit,ChiSq,RedChiSq
NGC5371,392836081281.9278,10.52829639799769,6127.4848815182895,360.4402871481347
UGC05829,1.1269365279709886e+21,5497424.382823625,185.96259939019353,20.662511043354836
NGC5005,147852930045.5502,2.3687952236573695,2086.781913623807,130.42386960148795
NGC1003,12246902405.110727,4.398521949069432,264.33384979141414,7.774524993865121
NGC0100,8772190348.443123,6.444233999149081,175.76486695926855,9.25078247154045
UGC07261,9075385614.742517,6.7053225001485,56.92464440037756,11.384928880075512
NGC6195,361798594490.9619,6.59232463670473,1696.3065797666723,80.77650379841296
UGC05414,40320203192.756004,20.191089666562732,13.603827706724312,3.400956926681078
UGC11820,36154561615.596634,25.097966291863123,41.83014142681484,5.228767678351855
NGC4183,36244327458.717094,11.24602354349456,486.06193254227384,23.145806311536848
UGC08699,34410023437.82247,0.9491143257197688,3646.684411372101,93.50472849672053
NGC2841,188040479241.76312,3.9252692122438373,1549.8921505490757,32.289419803105744
F567-2,29943610319.049786,25.625942616466048,27.032359448440857,9.01078648281362
NGC2403,20245886549.872776,4.090424426581044,724.129302498571,10.199004260543253
NGC4010,84339560865.6308,14.37246697929231,317.220270300968,31.722027030096804
F574-1,60647145873.45757,28.070754940413075,42.8112776715661,3.5676064726305086
NGC0300,9572257539.191462,7.019441726041824,93.23496137781262,4.053693972948375
F574-2,2.0045540205159915e+21,8205622.824008605,9.653111679593943,3.217703893197981
UGC07524,4.7879115548386604e+20,3388066.935174091,37.18973954324857,1.2824048118361575
ESO563-G021,598398517152.393,19.719850083252688,6465.826863265614,230.92238797377192
UGC00191,23023778354.71183,13.686246183462293,8.122936870962675,1.160419552994668
ESO116-G012,17268947913.765263,7.317879193851506,120.8667275722021,9.297440582477083
NGC3521,92425044072.69377,2.6550143335270304,2255.8544672694943,57.842422237679344
NGC5985,412033656358.25507,17.92336420900754,1275.5836031593888,41.147858166431895
UGC06930,47544285616.2016,15.368156667074707,52.050869132546865,6.506358641568358
NGC1090,106398925333.97594,8.565042911982472,581.2129500749852,26.418770457953872
UGC07323,3319871789047.199,164.63055389187804,9.786703584749826,1.2233379480937283
UGC07125,37376069441.44594,22.584351347696398,97.5631677757043,8.86937888870039
UGC02259,15179335649.901901,11.447660218516914,20.059666935010675,3.343277822501779
NGC3893,57633423303.24847,2.6819976589904853,161.9304441563565,20.24130551954456
NGC3726,93410788741.9949,6.858521047668115,985.7622556060674,98.57622556060673
UGC04325,120446090930.5835,30.753317879745016,59.94420932783708,9.990701554639513
UGC12506,320932357444.2982,22.50507809263298,1558.4981694677247,53.74131618854223
UGC11455,704808120308.5175,18.13455909620665,15684.16333267858,461.29892154937
F561-1,709397716820.1201,109.6950556702542,5.984680539221157,1.4961701348052892
UGC06818,6506315138.510219,6.57728816364423,3.6103530654042766,0.6017255109007128
UGC07089,34667580009.828445,17.646630250141456,46.1197986717633,4.61197986717633
UGC05253,115755171479.97186,2.0053128185573748,6576.666642965685,92.62910764740401
UGC06446,26840577996.30745,18.703561034825857,44.281125006393054,2.9520750004262037
NGC3953,302543222472.00903,11.263223899535165,170.19378868025532,28.36563144670922
UGC03546,56711912625.951965,0.6972740993277445,5696.137729837272,203.43349035133113
NGC6503,12665378725.678152,1.9422787336603669,1310.8694253442372,45.202393977387494
UGC05005,44434537091.71442,25.68799277293036,17.250015158880288,1.9166683509866986
UGC00634,25040788998.712254,13.994151876947019,11.357464360920929,5.6787321804604645
NGC3992,253431334270.36908,9.340392997791932,1065.4669205202276,152.20956007431823
NGC4088,176505396634.4031,7.569736644449166,3826.5937933330683,382.65937933330684
F579-V1,75139058376.26111,22.07082193867504,61.98491773432308,5.16540981119359
UGC10310,145233627420.43546,44.83033158144547,16.706109095707077,3.3412218191414156
NGC5055,127338164700.95813,3.517067638780537,1411.1978183573208,54.27683916758926
NGC0801,287893449905.52954,7.5363542868489946,518.6947595945619,47.154069054051085
F563-1,51275597869.69568,35.02783208381539,13.72313216761779,0.914875477841186
NGC6946,60057680033.141205,2.6190831356811044,20203.63936487613,360.77927437278805
UGC06614,101970605952.69688,2.6882296368971668,670.5674530777869,60.960677552526086
NGC3769,20313716960.70278,2.3853014480291908,77.97119438457247,7.797119438457247
NGC3917,132205800795.58409,21.246597149368373,651.2755848410725,43.418372322738165
UGC05999,145572843658.56686,48.78192973452592,31.206120332241525,10.402040110747174
NGC4085,65141690306.83566,5.971535832223726,106.46604651402589,21.293209302805177
NGC3198,63888744387.99143,8.597755485521839,2195.813200849211,53.55641953290759
F568-3,276416994536.3144,66.53305435102696,41.5299320674311,2.5956207542144436
NGC5033,82061155552.9707,1.4457825983128665,642.128885841796,32.1064442920898
UGC11557,69988474341.24545,14.385500118023225,108.00971608670805,10.800971608670805
UGC02885,349481832025.2761,6.492789200581655,4042.8833742457687,237.8166690732805
NGC5907,226259973398.13013,10.224633125176513,1063.7738006514319,62.57492945008423
UGC06917,30834314938.859024,11.468616240538752,24.0820562594135,2.6757840288237222
UGC04499,19297987209.72429,12.542661783355268,6.838535434930552,0.9769336335615074
NGC0289,84229706220.57483,3.959655515356656,1823.2676248972111,70.12567788066197
UGC06983,24472795137.827442,10.449921062207506,116.38343831487798,7.758895887658531
UGC06973,33904432881.459717,0.19195747416525238,10.84651165820245,1.549501665457493
UGC02487,405363113641.5084,6.344764614793787,481.5513813014763,32.10342542009842
UGC09037,109187300177.23083,8.741474448250212,103.99960200655708,5.1999801003278545
NGC4051,134065580693.18347,8.664489389373419,1382.29701078158,276.459402156316
F571-8,9700306189.743176,2.084473220598639,541.0818842425601,49.189262203869106
NGC2998,226874164850.43015,11.51473208181414,1199.8943528449843,109.08130480408948
NGC0055,32316120448.941357,14.101515137260753,52.970043021197284,2.7878970011156468
NGC2683,61043182652.6971,2.0975776285664636,788.9935928936738,87.66595476596376
UGC12632,906534787986.3317,163.3990818972656,11.431949161124296,0.8793807047018689
F563-V2,424271790740.95874,77.74095349956568,51.2976523436039,6.4122065429504875
NGC5585,9113235840.063452,5.0778472807300385,19.4844707061648,0.8856577593711272
NGC2976,7.47446753391171e+20,1361350.7331692965,884.2672045117113,35.37068818046845
NGC7814,55361362841.393005,0.7228403592835579,100.59252292662038,6.2870326829137735
UGC05716,16219946950.59907,17.521867585636343,16.433635021938308,1.6433635021938309
F571-V1,26495609642.516014,20.0715864655082,21.478188961443472,4.295637792288694
UGC11914,132775010877.36136,2.3277040433552867,1690.261396138118,26.82954597044632
NGC0891,117403082250.20741,1.9077002912534324,677.7045584507887,42.35653490317429
DDO170,16939512530.297823,19.346714061724803,23.15203187220337,3.8586719787005617
F568-V1,45382241157.46986,24.634034308764964,27.344584551206054,2.103429580862004
ESO079-G014,733844052721.4492,53.90616080000671,235.5676810909493,18.120590853149945
UGC06787,65257687480.112724,0.9460208178137428,2512.6527314914365,36.41525697813676
NGC2955,320916960320.70764,5.735275165369164,798.077947334727,36.27627033339668
UGC03580,13536113164.772877,1.58979452893926,632.5700538534877,14.057112307855283
NGC4100,75677066747.92815,5.503524370834817,4134.53726262757,187.93351193761683
UGC06786,53029352259.22463,1.6991817078728206,3344.864801580284,77.78755352512289
UGC00128,64102661577.05837,27.84746510308095,245.75089001371248,12.287544500685623
UGC00731,1.7016340748781523e+21,7987858.73056477,179.68001976270776,17.968001976270777
UGC05750,178338145714.3373,72.88136663773936,58.26788022077217,6.47420891341913
UGC07151,15372508577.540997,8.42034846771467,15.719093137979797,1.7465659042199775
NGC3972,128671903476.30562,19.291903741885537,129.87859580757817,16.23482447594727
F568-1,2.4314594356041986e+21,6413099.67659126,62.650527048373704,6.2650527048373705
NGC7793,21491977467.886646,4.93705468702223,652.6764338854617,14.833555315578677
NGC3877,575963682181.661,24.812951338554495,785.0039123657637,71.36399203325124
NGC6674,192147057452.03293,6.094010554978001,186.84429357126368,14.372637967020284
NGC6015,50720471146.33877,6.121956734716981,2425.934345003433,57.76034154770078
UGC12732,232168763471.36456,76.28301792022337,97.02986441187286,6.9307046008480615
NGC2903,70079499384.83258,2.19133195224161,8063.777052104613,251.99303287826916
UGC02455,12811042087.9329,4.150604803584744,84.34751298493339,14.057918830822231
UGC02023,229555561206.48593,54.2183641405395,18.99686414411187,6.332288048037291
UGC05986,14362748339.551918,6.198827970102692,289.4021803605529,22.261706181580994
UGC06399,44846925842.08634,22.49926677999574,18.125571085047675,2.5893672978639537
UGC09133,207380714413.39853,2.760174132494027,3525.2941138536466,53.413547179600705
NGC0024,9442863805.764277,4.268000068907031,734.0411486341164,27.18670920867098
UGC02953,190935235334.08527,3.0341536296621516,14810.58474585017,131.06712164469178
NGC4138,31143008596.03085,0.7880444853716595,72.88195921021041,14.576391842042081
NGC0247,162849628719.85086,44.657135633953615,108.60639809755301,4.525266587398042
IC4202,245279366941.95187,8.291286383816525,1591.5551589551724,53.05183863183908
UGC08286,9597654341.27604,8.933188546672955,53.633839459413494,3.575589297294233
NGC4559,39883605354.063324,6.688759938941878,241.89844395992543,8.063281465330848
UGC01230,54678476219.36047,23.08685462097417,36.81711130582309,4.0907901450914546
UGC06628,169456759490.89032,45.22180112503476,4.257275250560265,0.851455050112053
NGC4013,55624033638.1914,0.833801407874702,1519.6201493676297,44.69471027551852
UGC03205,121196199600.29543,4.503502670752787,3090.0146930257315,67.17423245708112
NGC7331,197837401199.23474,2.793938313007679,1533.2518143480984,45.095641598473485
UGC02916,123744580052.86937,2.8143921877928078,5885.78089745808,143.55563164531904
UGC06923,9201159181.393126,4.442475706239272,4.17972494927863,1.0449312373196575
NGC4217,104090832953.6004,2.7533376125459816,5711.980152983409,335.99883252843586
NGC3949,62207691458.21741,3.8234772722971093,302.3421629329547,60.468432586590936
NGC4389,97125391708.57181,8.577624403600895,71.76906254193227,17.942265635483068
NGC4157,120241942817.31664,4.9060792393179335,3523.800280486876,234.92001869912508
DDO161,11376839488.028763,10.828456329594891,115.13675771815205,3.9702330247638637
